Client,Received,Stream Tag,Cuid,Sch_Code,AnalyteCode,Result,AnaUnitCode,AnalyteStatus,LFL,LWL,ExpectedValue,UWL,UFL,Exported
AMIS0463,,,,,,,,,,,,,,
WS_SMR,10/4/2023 14:30,AMIS0463,8920848,ICP_CPGM_B,PD,142.5746,PPM,CPL,135.52,137.5825243,141.16,137.5825243,146.79,10/5/2023 14:35
WS_SMR,10/4/2023 14:30,AMIS0463,8920848,ICP_CPGM_B,RH,20.2244,PPM,QWH,18.44,18.79106796,19.4,18.79106796,20.35,10/5/2023 14:35
WS_SMR,10/4/2023 14:30,AMIS0463,8920848,ICP_CPGM_B,RU,29.1709,PPM,QWH,27.07,27.47226537,28.17,27.47226537,29.26,10/5/2023 14:35
WS_SMR,10/4/2023 14:30,AMIS0463,8920842,ICP_CPGM_A,PT,121.8408,PPM,QWL,120.05,122.1527508,125.8,122.1527508,131.55,10/5/2023 14:35
WS_SMR,10/4/2023 14:30,AMIS0463,8920842,ICP_CPGM_A,RH,18.5121,PPM,QWL,18.44,18.79106796,19.4,18.79106796,20.35,10/5/2023 14:35
WS_SMR,10/4/2023 14:30,AMIS0463,8920842,ICP_CPGM_A,RU,26.3445,PPM,QFL,27.07,27.47226537,28.17,27.47226537,29.26,10/5/2023 14:35
WS_SMR,10/4/2023 14:30,AMIS0463,8920848,ICP_CPGM_B,PT,131.0134,PPM,QWH,120.05,122.1527508,125.8,122.1527508,131.55,10/5/2023 14:35
WS_SMR,9/30/2023 18:53,AMIS0463,8920235,ICP_CBM_A,CO,0.292,%,CPL,0.26,0.274627832,0.3,0.274627832,0.34,10/6/2023 12:20
WS_SMR,9/30/2023 18:53,AMIS0463,8920235,ICP_CBM_A,CR2O3,1.931,%,CPL,,,,,,10/6/2023 12:20
WS_SMR,9/30/2023 18:53,AMIS0463,8920235,ICP_CBM_A,FE,32.76,%,CPL,31.02,31.87572816,33.36,31.87572816,35.7,10/6/2023 12:20
WS_SMR,9/30/2023 18:54,AMIS0463,8920240,ICP_CBM_B,CO,0.297,%,CPL,0.26,0.274627832,0.3,0.274627832,0.34,10/6/2023 12:20
WS_SMR,9/30/2023 18:54,AMIS0463,8920240,ICP_CBM_B,CR,1.29,%,CPL,1.17,1.224854369,1.32,1.224854369,1.45,10/6/2023 12:20
WS_SMR,9/30/2023 18:54,AMIS0463,8920240,ICP_CBM_B,CR2O3,1.882,%,CPL,,,,,,10/6/2023 12:20
WS_SMR,9/30/2023 18:54,AMIS0463,8920240,ICP_CBM_B,NI,11.43,%,CPL,11.17,11.37113269,11.72,11.37113269,12.27,10/6/2023 12:20
WS_SMR,9/30/2023 18:54,AMIS0463,8920240,ICP_CBM_B,FE,32.7,%,CPL,31.02,31.87572816,33.36,31.87572816,35.7,10/6/2023 12:20
WS_SMR,9/30/2023 18:53,AMIS0463,8920235,ICP_CBM_A,CU,8.13,%,CPL,7.98,8.064110032,8.21,8.064110032,8.44,10/6/2023 12:20
WS_SMR,9/30/2023 18:53,AMIS0463,8920235,ICP_CBM_A,CR,1.32,%,CPL,1.17,1.224854369,1.32,1.224854369,1.45,10/6/2023 12:20
WS_SMR,9/30/2023 18:53,AMIS0463,8920235,ICP_CBM_A,NI,11.6,%,CPL,11.17,11.37113269,11.72,11.37113269,12.27,10/6/2023 12:20
WS_SMR,9/30/2023 18:54,AMIS0463,8920240,ICP_CBM_B,CU,8.1,%,CPL,7.98,8.064110032,8.21,8.064110032,8.44,10/6/2023 12:20
WS_SMR,6/7/2023 12:54,AMIS0463,8903517,ICP_CBM_B,NI,11.6,%,CPL,11.17,11.37113269,11.72,11.37113269,12.27,6/8/2023 9:35
